term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
keep,0.018045919419853423,-0.03491805836565529,0.052604158390773745,-0.013651824211809063,-0.010258308774392502,-0.011167016812308667,-0.019536682433497935,-0.010566716462260553,0.028251640372518688,-0.013795296731256209,0.028489311751242467,0.029873302706086402,0.0012647638301403752,-0.03880985891288999,-0.003430496772698216,0.017881678948110262,-0.037051147855802435,0.007827850765647848,-0.0074266447669788516,-0.014124865061777514
come,0.04677442949442462,-0.021322681759441527,0.030828508480179293,-0.05903254469234133,0.014889520752662457,-0.005698813361605595,-0.02426901800076536,-0.011091336398976746,-0.0006631247455564369,0.002636081262974983,0.04825404945183873,0.01010340181073166,-0.019672318570768975,0.004982669916622343,0.010096152589788299,-0.0049723324579873315,-0.024078401940199348,0.011306197768647663,-0.019302295593248475,-0.009834952674034655
tell,0.021544997176839043,-0.08498612913541223,0.020017819683386274,-0.02091437759449601,-0.011517170583047047,0.011086366860910272,0.006767654921964512,-0.0033847439419344835,0.00635004952856222,-0.005105387139905642,0.008089655333419585,0.006428552598252535,0.009973455942114073,0.0052808461491540976,-0.01546145997819217,-0.01116910981813668,-0.048574224007769964,0.012532102196678545,0.003866491483427034,-0.027141008901638133
is,0.07923151692134839,-0.00738296718953818,0.003694732548392753,0.010620091722533137,0.045062759064415564,-0.003930068672613125,0.008418159215896219,0.01554209242788078,-0.004931559134188947,0.014187114781918959,0.017734499491159295,0.013510099558532551,0.007363135286212907,-0.01889959752300492,-0.012185031950722066,-0.004537109693943192,0.00666461755735355,0.015222575385520477,0.0033942389134418716,0.010969688481610868
real,0.03643161440267782,-0.04511486557547215,0.07001323643871044,-0.015735988691480695,-0.007204076573223541,-0.008209374744011637,-0.009645778291962491,-0.0029906212188664048,0.006097242630431827,0.010863995407018165,0.00656626881545036,0.0011590223761926977,0.013179709002506229,-0.05780249002984178,-0.03178224309912943,-0.01713122785287892,0.0048483096722502506,0.005666078594822543,0.024208439670033333,-0.025463972001435915
said,0.04222011747302987,-0.08285776226777877,0.003388314494421098,-0.010609263010556405,0.00480137803821979,0.0236645863696283,0.0721396580447661,0.05966139813722574,-0.010940514137997024,-0.0044416116581170164,-0.12203058454552082,-0.07479742894906563,0.0031910856201159826,0.11102714407686574,0.0559701174987936,-0.030088997903726863,0.07018467921637467,-0.05508465917476671,-0.0003840985232620997,-0.009982050949622664
make,0.03139485647096603,-0.034685353246832154,0.030471682779135777,-0.03508942469798416,-0.0013646593757860187,-0.0001054737580173459,0.0035852466030201154,0.0001694047465453016,0.007420146632704564,0.002896684612059936,0.04362991347576667,0.012797151886753483,-0.013993862907601129,-0.017461350239582812,0.003449819716114799,0.022850949234327955,-0.028464347074866586,0.016174758945111445,-0.02231248588607357,0.002224673349481371
are,0.0952727115308333,-0.018893606665711042,-0.06613089716421691,0.02506476813401692,0.09037345526889239,0.01463498384062673,0.03125897155715811,0.04547024244280851,0.011830583652275389,-0.012072237264094078,0.04376200757866371,-0.00041380166849545874,-0.00848640268524399,0.007862458530124183,0.0031859705332624166,0.0333034256740079,-0.011438969005896936,-0.015781601791458502,0.014398213287853526,0.0015857279392896273
thats,0.04012518561955977,-0.0380895288732965,0.0394095399282755,-0.003320703148290364,0.0007405787747383311,-0.008585807609586374,0.023882171907848443,0.019561483611102676,-0.003434710344112814,-0.002596861954048613,-0.006076789667204154,-0.005618669569097096,0.008604422685566417,-0.025017423379482123,-0.0032919372647956247,-0.0028453023028063296,0.014439487015548029,0.00026241025300807047,0.011253654165760199,-0.013052729714975973
ill,0.07033305288761899,-0.0402141371966104,0.003449760100370393,-0.05689011503135693,0.026794730029687925,0.019784237412014283,-0.002497608955714749,0.00606802123730961,0.014817481495926065,0.012058278819920694,0.055016080423038405,-0.037695233661810296,-0.0026961616590436936,0.04358985908515034,0.00404709437236056,0.020308512194220196,-0.02370479534495984,-0.015787415204994187,0.020107823274817416,-0.011189920007488308
big,-0.0018915314541209582,0.006674754643055162,0.06980184501167253,-0.03804692814775772,-0.02089005165772038,-0.012345528448878726,0.050861328505175676,0.05165823856266436,-0.0022451369390971416,-0.002610101002759576,-0.026675860816273208,-0.012869928333430015,-0.008323531481815716,-0.029233659652578292,0.0014549713832802472,0.0003944933447640464,-0.0030354960128982783,-0.013197632353767086,0.0023666167110823477,0.03456061656349391
take,0.03459056430726219,-0.05479356232824556,0.016893408812602772,-0.03410851416571998,-0.005248390432391915,0.00222641085566218,-0.008843158237250135,-0.0023169655236574545,0.005215344880585437,-0.0008822344410554498,0.04518032514719488,0.008464688128249513,-0.01714836263681007,0.004729172311253915,0.01810660789252997,0.009705991631421062,-0.01166640195948792,0.0004588147412086241,0.0016842216959988832,0.013833093990402834
see,0.049185832320127326,-0.044643534965198114,0.02593812194834974,-0.01275809749995816,0.001227387672943367,0.0027011319110295377,-0.011909211104567899,-0.007879161339490058,-0.005646407395974736,0.004151160463015774,0.01605870534348429,0.017913925842161508,-0.0023012761169415984,-0.0017007762457578735,0.008224530214739123,0.007774829385906679,-0.018843750396293987,0.01569611422998396,-0.013554740355030848,-0.008368404198779919
good,0.045097418582211814,-0.07434494559024289,-0.017909086777820094,-0.03289775971299044,-0.016810616539304307,0.018965290421201736,0.04342525540682235,-0.01231682656659951,-0.044452846823181964,0.031019244332526643,-0.012022275836525728,0.08347295470256477,0.021905179620298296,-0.017578869865047864,0.0358705215111888,0.009895958720014253,0.016971603755865202,0.004666001572532663,0.035411089078800015,0.011649175640583456
have,0.057582809153340644,-0.05527921866440467,-0.007842894439995992,0.00966987253380819,0.0064724156760522945,0.019162111583546897,0.01544929108457248,0.00756955963004878,-0.004159860625915765,0.01081683136572428,-0.009298083693458772,-0.01595759964472348,-0.0034463252861076897,0.007536317911508439,0.004501857891953176,0.00879536418508553,-0.012874794522819671,0.015365541719334776,-0.009819256783778957,-0.023898498561869985
