Artist,source_file_path,num_songs,Artist ID,Website,Hometown,State,Year
Cypress Hill,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_CypressHill.json,269,1317,https://genius.com/artists/Cypress-hill,"Los Angeles, CA",CA,2000
DJ Jazzy Jeff & The Fresh Prince,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_DJJazzyJeffTheFreshPrince.json,86,348422,https://genius.com/artists/Dj-jazzy-jeff-and-the-fresh-prince,"West Philadelphia, PA",PA,1989
DMX,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_DMX.json,349,77,https://genius.com/artists/Dmx,"Yonkers, NY",NY,2003
DaBaby,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_DaBaby.json,243,1162342,https://genius.com/artists/Dababy,"Charlotte, NC",NC,2019
De La Soul,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_DeLaSoul.json,257,225,https://genius.com/artists/De-la-soul,"Amityville, NY",NY,1996
Digital Underground,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_DigitalUnderground.json,104,668,https://genius.com/artists/Digital-underground,"Oakland, CA",CA,1993
Don Toliver,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_DonToliver.json,375,1523930,https://genius.com/artists/Don-toliver,"Houston, TX",TX,2021
Dr. Dre,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_Dr.Dre.json,215,123,https://genius.com/artists/Dr-dre,"Compton, CA",CA,2005
Drake,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_Drake.json,500,130,https://genius.com/artists/Drake,"Toronto, ON",ON,2016
E-40,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_E40.json,500,405,https://genius.com/artists/E-40,"Vallejo, CA",CA,2011
EPMD,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_EPMD.json,100,503,https://genius.com/artists/Epmd,"Brentwood, NY",NY,1992
Eazy-E,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_EazyE.json,68,496,https://genius.com/artists/Eazy-e,"Compton, CA",CA,1993
Eminem,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_Eminem.json,500,45,https://genius.com/artists/Eminem,"Detroit, MI",MI,2009
Eric B. & Rakim,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_EricB.Rakim.json,57,161762,https://genius.com/artists/Eric-b-and-rakim,"Long Island, NY",NY,1990
Freddie Gibbs,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_FreddieGibbs.json,252,939,https://genius.com/artists/Freddie-gibbs,"Gary, IN",IN,2011
Future,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_Future.json,500,2197,https://genius.com/artists/Future,"Atlanta, GA",GA,2016
Gang Starr,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_GangStarr.json,152,220,https://genius.com/artists/Gang-starr,"Brooklyn, NY",NY,1994
Geto Boys,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_GetoBoys.json,134,377,https://genius.com/artists/Geto-boys,"Houston, TX",TX,1992
Ghostface Killah,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_GhostfaceKillah.json,262,20,https://genius.com/artists/Ghostface-killah,"Staten Island, NY",NY,2007
Gucci Mane,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_GucciMane.json,500,13,https://genius.com/artists/Gucci-mane,"Birmingham, AL",AL,2013
Gunna,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_Gunna.json,363,91049,https://genius.com/artists/Gunna,"Atlanta, GA",GA,2019
