term_str,n,tfidf,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
indefensible,1.0,0.00011097775541918172,0.0,0.0,0.0,0.00011097775541918172,0.0,0.0,0.0,0.0,-0.00011097775541918172
indelible,1.0,0.00020373161606163746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020373161606163746,0.00020373161606163746
independence,1.2727272727272727,0.00014336375374255592,0.0,0.00014336375374255592,0.0,0.0,0.00014336375374255592,0.0,0.00014336375374255592,0.00014336375374255592,0.00014336375374255592
indestructible,1.0,8.697488740693722e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.697488740693722e-05,8.697488740693722e-05
indict,1.5,0.00013688294399743882,0.00013688294399743882,0.0,0.0,0.00013688294399743882,0.0,0.0,0.0,0.0,-0.00013688294399743882
indictment,1.4285714285714286,0.0001423716919258597,0.0,0.0,0.0,0.0001423716919258597,0.0,0.0,0.0,0.0,-0.0001423716919258597
indifference,1.0,0.00014503604527065764,0.00014503604527065764,0.0,0.00014503604527065764,0.00014503604527065764,0.0,0.00014503604527065764,0.0,0.0,-0.00014503604527065764
indignation,1.0,0.00011594604887149694,0.00011594604887149694,0.0,0.00011594604887149694,0.0,0.0,0.0,0.0,0.0,-0.00011594604887149694
indomitable,1.0,0.00010868710776513239,0.0,0.0,0.0,0.00010868710776513239,0.0,0.0,0.0,0.0,0.00010868710776513239
inexplicable,1.0,0.00010680622835962199,0.0,0.0,0.0,0.0,0.0,0.0,0.00010680622835962199,0.0,-0.00010680622835962199
infamous,10.071428571428571,0.0005254254252934386,0.0005254254252934386,0.0,0.0005254254252934386,0.0005254254252934386,0.0,0.0,0.0,0.0,-0.0005254254252934386
infamy,1.6,0.00013013839166170138,0.0,0.0,0.0,0.0,0.0,0.00013013839166170138,0.0,0.0,-0.00013013839166170138
infant,1.4090909090909092,0.00011636344716270598,0.0,0.00011636344716270598,0.0,0.00011636344716270598,0.00011636344716270598,0.0,0.00011636344716270598,0.0,0.00011636344716270598
infanticide,1.0,0.00011583010837761951,0.00011583010837761951,0.00011583010837761951,0.00011583010837761951,0.00011583010837761951,0.0,0.00011583010837761951,0.0,0.0,-0.00011583010837761951
infantile,1.0,0.00035110556813211085,0.00035110556813211085,0.0,0.00035110556813211085,0.0,0.0,0.0,0.0,0.0,-0.00035110556813211085
infect,1.5,0.00019103539946576327,0.0,0.0,0.00019103539946576327,0.0,0.0,0.0,0.0,0.0,-0.00019103539946576327
infection,1.2272727272727273,0.00014806810227564873,0.0,0.0,0.0,0.00014806810227564873,0.0,0.0,0.0,0.0,-0.00014806810227564873
infectious,2.0,0.00034186894496647405,0.0,0.0,0.00034186894496647405,0.00034186894496647405,0.0,0.00034186894496647405,0.0,0.0,-0.00034186894496647405
inferior,1.8275862068965518,0.00015972388277538915,0.0,0.0,0.0,0.0,0.0,0.00015972388277538915,0.0,0.0,-0.00015972388277538915
inferno,1.5789473684210527,0.0001794054449087203,0.0001794054449087203,0.0,0.0,0.0001794054449087203,0.0,0.0,0.0,0.0,-0.0001794054449087203
infidelity,1.625,0.00013069116287048235,0.00013069116287048235,0.0,0.00013069116287048235,0.00013069116287048235,0.0,0.00013069116287048235,0.0,0.0,-0.00013069116287048235
infiltration,1.0,0.0001146739324328735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
infinity,2.25,0.00023678200942387926,0.0,0.00023678200942387926,0.0,0.0,0.00023678200942387926,0.0,0.0,0.00023678200942387926,0.00023678200942387926
inflation,1.0769230769230769,0.0001726633114540031,0.0,0.0,0.0,0.0001726633114540031,0.0,0.0,0.0,0.0,-0.0001726633114540031
inflict,1.6,0.00018682549426917615,0.00018682549426917615,0.0,0.0,0.00018682549426917615,0.0,0.00018682549426917615,0.0,0.0,-0.00018682549426917615
infliction,2.0,0.00014741841451778876,0.0,0.0,0.0,0.00014741841451778876,0.0,0.00014741841451778876,0.0,0.0,-0.00014741841451778876
influence,2.3,0.00018268290428552733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
influential,1.5625,0.0001738078860639912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001738078860639912,0.0001738078860639912
infraction,1.0,7.031304417323997e-05,7.031304417323997e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.031304417323997e-05
inheritance,1.4,0.0002380720474356313,0.0,0.0002380720474356313,0.0,0.0,0.0002380720474356313,0.0,0.0002380720474356313,0.0002380720474356313,0.0002380720474356313
